objectid,parentid,title,creator,date,date_archival,date_is_approximate,description,subject,recipient,associated_names,location,latitude,longitude,location_2,latitude_2,longitude_2,identifier,doc_length,cabinet,drawer,box,bag,type_point,material,material_source,length_mm,width_mm,thickness_mm,weight_g,count,source,language,rights,rightsstatement,student_initials,GGOI,original_format,type,format,object_comments,group,display_template,filename,extension,box_num,folder_num,id_num,publish,object_thumb,object_location,reference_url
"ce_cc_d2_1950_model_stl","ce_cc_d2_1950_model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/",,,,"InteractiveResource;3DObject","model/stl",,"artifact","3d_model_child",,"stl",,,,,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1950_model_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1950_model.stl","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1950_model.html#ce_cc_d2_1950_model_stl"
"ce_cc_d2_1950_model_x3d","ce_cc_d2_1950_model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/",,,,"InteractiveResource;3DObject","model/x3d",,"artifact","3d_model_child",,"x3d",,,,,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1950_model_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1950_model.x3d","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1950_model.html#ce_cc_d2_1950_model_x3d"
"ce_cc_d2_1950-a","ce_cc_d2_1950_model","Ce.1950","Crabtree, Donald &quot;Don&quot; E.","1975-80","1975-80","yes","Clovis","experimental artifacts; lithics",,,,,,,,,"CE_CC_D2_1950-a",,"C","2","N/A","N/A","projectile point","obsidian","Glass Butte, Oregon","84.25","31.16","7.16","20.6","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"multiple","artifact_image",,"jpg","CC","D2","1950-a",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1950-a_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1950-a.jpg","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1950_model.html#ce_cc_d2_1950-a"
"ce_cc_d2_1950-b","ce_cc_d2_1950_model","Ce.1950","Crabtree, Donald &quot;Don&quot; E.","1975-80","1975-80","yes","Clovis","experimental artifacts; lithics",,,,,,,,,"CE_CC_D2_1950-b",,"C","2","N/A","N/A","projectile point","obsidian","Glass Butte, Oregon","84.25","31.16","7.16","20.6","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"artifact","image",,"jpg","CC","D2","1950-b",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1950-b_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1950-b.jpg","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1950_model.html#ce_cc_d2_1950-b"
"ce_cc_d2_1951_model",,"Ce.1951","Crabtree, Donald &quot;Don&quot; E.","1972","1972","yes","Folsom, basally ground","experimental artifacts; lithics",,,,,,,,,"CE_CC_D2_1951_model",,"C","2","N/A","N/A","projectile point","cryptocrystalline silicate","N/A","52.08","20.45","4.31","5.9","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","InteractiveResource;3DObject",,,"model","3d_model",,"jpg","CC","D2","1951",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1951-a_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1951_model.jpg","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1951_model.html"
"ce_cc_d2_1951_model_mtl","ce_cc_d2_1951_model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/",,,,"InteractiveResource;3DObject","model/mtl",,"artifact","3d_model_child",,"mtl",,,,,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1951_model_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1951_model.mtl","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1951_model.html#ce_cc_d2_1951_model_mtl"
"ce_cc_d2_1951_model_obj","ce_cc_d2_1951_model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/",,,,"InteractiveResource;3DObject","model/obj",,"artifact","3d_model_child",,"obj",,,,,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1951_model_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1951_model.obj","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1951_model.html#ce_cc_d2_1951_model_obj"
"ce_cc_d2_1951_model_stl","ce_cc_d2_1951_model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/",,,,"InteractiveResource;3DObject","model/stl",,"artifact","3d_model_child",,"stl",,,,,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1951_model_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1951_model.stl","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1951_model.html#ce_cc_d2_1951_model_stl"
"ce_cc_d2_1951_model_x3d","ce_cc_d2_1951_model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/",,,,"InteractiveResource;3DObject","model/x3d",,"artifact","3d_model_child",,"x3d",,,,,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1951_model_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1951_model.x3d","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1951_model.html#ce_cc_d2_1951_model_x3d"
"ce_cc_d2_1951-a","ce_cc_d2_1951_model","Ce.1951","Crabtree, Donald &quot;Don&quot; E.","1972","1972","yes","Folsom, basally ground","experimental artifacts; lithics",,,,,,,,,"CE_CC_D2_1951-a",,"C","2","N/A","N/A","projectile point","cryptocrystalline silicate","N/A","52.08","20.45","4.31","5.9","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"multiple","artifact_image",,"jpg","CC","D2","1951-a",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1951-a_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1951-a.jpg","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1951_model.html#ce_cc_d2_1951-a"
"ce_cc_d2_1951-b","ce_cc_d2_1951_model","Ce.1951","Crabtree, Donald &quot;Don&quot; E.","1972","1972","yes","Folsom, basally ground","experimental artifacts; lithics",,,,,,,,,"CE_CC_D2_1951-b",,"C","2","N/A","N/A","projectile point","cryptocrystalline silicate","N/A","52.08","20.45","4.31","5.9","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"artifact","image",,"jpg","CC","D2","1951-b",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1951-b_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1951-b.jpg","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1951_model.html#ce_cc_d2_1951-b"
"ce_cc_d2_1952-a",,"Ce.1952","Crabtree, Donald &quot;Don&quot; E.",,"N/A",,"Folsom, distal end, bending fracture","experimental artifacts; lithics",,,,,,,,,"CE_CC_D2_1952-a",,"C","2","N/A","N/A","projectile point","flint","Grand-Pressigny, France","28.82","19.82","5.52","4.1","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"multiple","artifact_image",,"jpg","CC","D2","1952-a",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1952-a_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1952-a.jpg","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1952-a.html"
"ce_cc_d2_1952-b","ce_cc_d2_1952-a","Ce.1952","Crabtree, Donald &quot;Don&quot; E.",,"N/A",,"Folsom, distal end, bending fracture","experimental artifacts; lithics",,,,,,,,,"CE_CC_D2_1952-b",,"C","2","N/A","N/A","projectile point","flint","Grand-Pressigny, France","28.82","19.82","5.52","4.1","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"artifact","image",,"jpg","CC","D2","1952-b",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1952-b_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1952-b.jpg","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1952-a.html#ce_cc_d2_1952-b"
"ce_cc_d2_1953-a",,"Ce.1953","Crabtree, Donald &quot;Don&quot; E.",,"N/A",,"Fluted, ground basal margins","experimental artifacts; lithics",,,,,,,,,"CE_CC_D2_1953-a",,"C","2","N/A","N/A","projectile point","obsidian","Burns, Oregon","95.13","22.48","8.15","18.3","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"multiple","artifact_image",,"jpg","CC","D2","1953-a",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1953-a_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1953-a.jpg","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1953-a.html"
"ce_cc_d2_1953-b","ce_cc_d2_1953-a","Ce.1953","Crabtree, Donald &quot;Don&quot; E.",,"N/A",,"Fluted, ground basal margins","experimental artifacts; lithics",,,,,,,,,"CE_CC_D2_1953-b",,"C","2","N/A","N/A","projectile point","obsidian","Burns, Oregon","95.13","22.48","8.15","18.3","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"artifact","image",,"jpg","CC","D2","1953-b",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1953-b_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1953-b.jpg","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1953-a.html#ce_cc_d2_1953-b"
"ce_cc_d2_1954-a",,"Ce.1954","Crabtree, Donald &quot;Don&quot; E.",,"N/A",,"Fluted, Second flute severed the distal end due to too much downward pressure. Fluted by pressure, margins ground to facilitate holding in vise. (JW)Channel flake fragment and distal end renumbered to Ce.10137 and Ce.10138.","experimental artifacts; lithics",,,,,,,,,"CE_CC_D2_1954-a",,"C","2","N/A","N/A","projectile point","obsidian","California","44.63","20.84","5.57","5.9","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"multiple","artifact_image",,"jpg","CC","D2","1954-a",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1954-a_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1954-a.jpg","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1954-a.html"
"ce_cc_d2_1954-b","ce_cc_d2_1954-a","Ce.1954","Crabtree, Donald &quot;Don&quot; E.",,"N/A",,"Fluted, Second flute severed the distal end due to too much downward pressure. Fluted by pressure, margins ground to facilitate holding in vise. (JW)Channel flake fragment and distal end renumbered to Ce.10137 and Ce.10138.","experimental artifacts; lithics",,,,,,,,,"CE_CC_D2_1954-b",,"C","2","N/A","N/A","projectile point","obsidian","California","44.63","20.84","5.57","5.9","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"artifact","image",,"jpg","CC","D2","1954-b",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1954-b_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1954-b.jpg","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1954-a.html#ce_cc_d2_1954-b"
"ce_ce_d1_1152-a",,"Ce.1152","Crabtree, Donald &quot;Don&quot; E.","1950","1950s","yes","Material: glass from bank door. (JW)","experimental artifacts; lithics",,,,,,,,,"CE_CE_D1_1152-a",,"E","1","N/A","N/A","biface","colorless glass","N/A","156.89","38.7","12.59","72.9","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"multiple","artifact_image",,"jpg","CE","D1","1152-a",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ce_d1_1152-a_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CE_D1_1152-a.jpg","https://swat-ds.github.io/peace-collection//items/ce_ce_d1_1152-a.html"
"ce_ce_d1_1152-a2","ce_ce_d1_1152-a","Ce.1152","Crabtree, Donald &quot;Don&quot; E.","1950","1950s","yes","Material: glass from bank door. (JW)","experimental artifacts; lithics",,,,,,,,,"CE_CE_D1_1152-a2",,"E","1","N/A","N/A","biface","colorless glass","N/A","156.89","38.7","12.59","72.9","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"artifact","image",,"jpg","CE","D1","1152-a2",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ce_d1_1152-a2_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CE_D1_1152-a2.jpg","https://swat-ds.github.io/peace-collection//items/ce_ce_d1_1152-a.html#ce_ce_d1_1152-a2"
"ce_ce_d1_1152-b","ce_ce_d1_1152-a","Ce.1152","Crabtree, Donald &quot;Don&quot; E.","1950","1950s","yes","Material: glass from bank door. (JW)","experimental artifacts; lithics",,,,,,,,,"CE_CE_D1_1152-b",,"E","1","N/A","N/A","biface","colorless glass","N/A","156.89","38.7","12.59","72.9","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"artifact","image",,"jpg","CE","D1","1152-b",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ce_d1_1152-b_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CE_D1_1152-b.jpg","https://swat-ds.github.io/peace-collection//items/ce_ce_d1_1152-a.html#ce_ce_d1_1152-b"
"ce_ce_d1_1152-b2","ce_ce_d1_1152-a","Ce.1152","Crabtree, Donald &quot;Don&quot; E.","1950","1950s","yes","Material: glass from bank door. (JW)","experimental artifacts; lithics",,,,,,,,,"CE_CE_D1_1152-b2",,"E","1","N/A","N/A","biface","colorless glass","N/A","156.89","38.7","12.59","72.9","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"artifact","image",,"jpg","CE","D1","1152-b2",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ce_d1_1152-b2_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CE_D1_1152-b2.jpg","https://swat-ds.github.io/peace-collection//items/ce_ce_d1_1152-a.html#ce_ce_d1_1152-b2"

